Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,8,2,166.36,0,0.157,1.1,1.43,42.8,100,4,930
2017,1,1,0,30,0,0,8,2,163.49,0,0.157,1.1,1.416,42.8,100,4,930
2017,1,1,1,0,0,0,3,2,158.95,0,0.157,1.1,1.403,35.1,100,4,930
2017,1,1,1,30,0,0,1,2,153.6,0,0.157,1.1,1.39,35.1,100,4,930
2017,1,1,2,0,0,0,0,2,147.87,0,0.157,1.1,1.378,22.3,100,4,930
2017,1,1,2,30,0,0,3,2,141.94,0,0.157,1.1,1.365,22.3,100,4,930
2017,1,1,3,0,0,0,1,1,135.92,0,0.157,1.1,1.353,4,99.6,4,930
2017,1,1,3,30,0,0,1,1,129.87,0,0.157,1.2,1.335,4,99.58,4,930
2017,1,1,4,0,0,0,1,1,123.83,0,0.157,1.3,1.317,349.8,98.41,4,930
2017,1,1,4,30,0,0,1,1,117.82,0,0.157,1.3,1.29,349.8,100,3,930
2017,1,1,5,0,0,0,1,1,111.89,0,0.157,1.4,1.264,343.7,100,3,930
2017,1,1,5,30,0,0,1,1,106.04,0,0.157,1.4,1.23,343.7,100,3,930
2017,1,1,6,0,0,0,1,1,100.32,0,0.157,1.4,1.198,341.8,100,3,930
2017,1,1,6,30,0,0,1,1,94.75,0,0.157,1.2,1.17,341.8,100,4,930
2017,1,1,7,0,0,0,1,1,89.36,0,0.157,1.1,1.142,335.1,97.65,5,930
2017,1,1,7,30,68,68,1,1,84.21,0,0.157,1.4,1.124,335.1,90.96,6,930
2017,1,1,8,0,148,148,1,2,79.35,0,0.157,1.7,1.106,325.9,82.71,8,930
2017,1,1,8,30,230,230,0,2,74.82,0,0.157,1.4,1.101,325.9,77.18,9,930
2017,1,1,9,0,308,308,0,2,70.71,0,0.157,1.1,1.096,316.1,70.16,10,930
2017,1,1,9,30,377,377,0,2,67.08,0,0.157,0.9,1.088,316.1,65.57,11,930
2017,1,1,10,0,444,444,0,2,64.04,0,0.157,0.7,1.081,254.2,60.72,12,930
2017,1,1,10,30,489,489,0,2,61.66,0,0.157,1.2,1.069,254.2,60.69,13,930
2017,1,1,11,0,521,521,0,2,60.02,0,0.157,1.7,1.059,225.2,55.31,14,930
2017,1,1,11,30,536,536,0,2,59.19,0,0.157,2.3,1.056,225.2,55.29,14,930
2017,1,1,12,0,536,536,0,2,59.21,0,0.157,2.9,1.054,229,50.45,15,930
2017,1,1,12,30,520,520,0,2,60.07,0,0.157,3.3,1.054,229,50.44,15,930
2017,1,1,13,0,489,489,0,1,61.73,0,0.157,3.7,1.054,228,46.21,15,930
2017,1,1,13,30,444,444,0,1,64.14,0,0.157,3.9,1.039,228,46.2,15,930
2017,1,1,14,0,386,386,1,1,67.21,0,0.157,4.1,1.024,223.4,45.72,15,930
2017,1,1,14,30,316,316,0,1,70.85,0,0.157,3.8,0.98,223.4,48.8,14,930
2017,1,1,15,0,238,238,0,1,74.98,0,0.157,3.6,0.937,219.2,53.33,13,930
2017,1,1,15,30,154,154,1,1,79.52,0,0.157,3,0.887,219.2,60.94,11,930
2017,1,1,16,0,71,71,1,1,84.4,0,0.157,2.4,0.837,215.4,70.44,9,930
2017,1,1,16,30,0,0,0,1,89.55,0,0.157,2.7,0.802,215.4,75.46,8,930
2017,1,1,17,0,0,0,0,1,94.95,0,0.157,3,0.768,215.9,73.49,8,930
2017,1,1,17,30,0,0,0,1,100.52,0,0.157,3.4,0.739,215.9,78.79,7,930
2017,1,1,18,0,0,0,0,1,106.25,0,0.157,3.8,0.711,216.8,77.41,7,930
2017,1,1,18,30,0,0,0,1,112.1,0,0.157,4.2,0.672,216.8,83.02,7,930
2017,1,1,19,0,0,0,0,1,118.04,0,0.157,4.7,0.634,217.7,81.01,7,930
2017,1,1,19,30,0,0,1,1,124.04,0,0.157,5.4,0.593,217.7,81.02,6,930
2017,1,1,20,0,0,0,0,0,130.09,0,0.157,6.1,0.553,217.5,79.37,6,930
2017,1,1,20,30,0,0,0,0,136.14,0,0.157,6.5,0.529,217.5,79.38,6,930
2017,1,1,21,0,0,0,0,0,142.15,0,0.157,6.9,0.505,217.8,79.73,6,930
